Frequency (Hz)	Level (dB)
212.402344	-49.944481
213.134766	-49.243477
213.867188	-51.475445
214.599609	-50.085606
215.332031	-49.872185
216.064453	-49.144135
216.796875	-52.858837
217.529297	-50.358059
218.261719	-50.581242
218.994141	-51.626530
219.726562	-50.895256
220.458984	-50.642429
221.191406	-50.837112
221.923828	-49.326511
222.656250	-51.666927
223.388672	-49.205101
224.121094	-48.363075
224.853516	-49.423138
225.585938	-49.419498
226.318359	-49.673973
227.050781	-49.997875
227.783203	-49.779034
228.515625	-49.377068
229.248047	-49.427742
229.980469	-49.009758
230.712891	-50.894474
231.445312	-48.984798
232.177734	-50.100975
232.910156	-51.023891
233.642578	-51.397366
234.375000	-51.113869
235.107422	-50.557213
235.839844	-49.680969
236.572266	-50.358196
237.304688	-49.536419
238.037109	-51.298965
238.769531	-49.351021
239.501953	-49.561474
240.234375	-49.956623
240.966797	-50.621853
241.699219	-49.236992
242.431641	-49.199429
243.164062	-48.422146
243.896484	-49.304749
244.628906	-49.840801
245.361328	-51.103142
246.093750	-50.678383
246.826172	-48.964798
247.558594	-50.385025
248.291016	-49.518608
249.023438	-51.491959
249.755859	-49.552811
250.488281	-51.858620
251.220703	-50.265091
251.953125	-49.908928
252.685547	-49.816074
253.417969	-49.911255
254.150391	-50.537788
254.882812	-48.774899
255.615234	-51.286991
256.347656	-51.041809
257.080078	-49.175518
257.812500	-50.598095
258.544922	-51.450203
259.277344	-51.587128
260.009766	-49.092358
260.742188	-50.645470
261.474609	-51.017601
262.207031	-48.746853
262.939453	-48.675617
263.671875	-49.265953
264.404297	-49.552822
265.136719	-50.004639
265.869141	-51.159729
266.601562	-50.168571
267.333984	-49.422947
268.066406	-50.081734
268.798828	-51.487137
269.531250	-51.175369
270.263672	-49.833843
270.996094	-48.563076
271.728516	-49.677486
272.460938	-49.511909
273.193359	-49.961777
273.925781	-51.108875
274.658203	-49.487530
275.390625	-49.860065
276.123047	-50.271328
276.855469	-51.077499
277.587891	-49.362907
278.320312	-50.160118
279.052734	-50.229843
279.785156	-49.817909
280.517578	-48.773769
281.250000	-51.058613
281.982422	-51.859459
282.714844	-50.472797
283.447266	-48.697441
284.179688	-48.304146
284.912109	-49.096458
285.644531	-49.698246
286.376953	-50.919926
287.109375	-49.544418
287.841797	-50.188900
288.574219	-49.694225
289.306641	-50.513203
290.039062	-51.541553
290.771484	-50.922806
291.503906	-50.268230
292.236328	-50.384842
292.968750	-49.507504
293.701172	-50.070866
294.433594	-49.161064
295.166016	-50.746967
295.898438	-49.565659
296.630859	-51.152988
297.363281	-49.625301
298.095703	-49.310078
298.828125	-50.491047
299.560547	-50.899136
300.292969	-49.673176
301.025391	-50.399693
301.757812	-50.892925
302.490234	-49.907173
303.222656	-51.034283
303.955078	-49.825954
304.687500	-50.017857
305.419922	-49.816769
306.152344	-50.976082
306.884766	-50.908737
307.617188	-51.906208
308.349609	-49.657757
309.082031	-50.078266
309.814453	-51.896996
310.546875	-50.020020
311.279297	-50.146816
312.011719	-49.608433
312.744141	-50.093693
313.476562	-48.948936
314.208984	-48.777420
314.941406	-50.531837
315.673828	-50.800896
316.406250	-50.927757
317.138672	-51.101665
317.871094	-50.395657
318.603516	-50.858810
319.335938	-50.083172
320.068359	-50.280647
320.800781	-48.620586
321.533203	-49.875763
322.265625	-49.977016
322.998047	-50.486057
323.730469	-49.944740
324.462891	-48.954464
325.195312	-50.323109
325.927734	-50.075001
326.660156	-49.213268
327.392578	-50.355949
328.125000	-50.027210
328.857422	-52.050739
329.589844	-49.809044
330.322266	-51.278008
331.054688	-50.011574
331.787109	-50.312225
332.519531	-50.569614
333.251953	-50.266361
333.984375	-49.331509
334.716797	-50.242661
335.449219	-49.382442
336.181641	-50.207211
336.914062	-49.714844
337.646484	-48.632664
338.378906	-47.943089
339.111328	-49.288387
339.843750	-48.860985
340.576172	-50.856007
341.308594	-50.238251
342.041016	-49.011238
342.773438	-50.699890
343.505859	-50.115578
344.238281	-49.741436
344.970703	-51.144184
345.703125	-50.155510
346.435547	-50.674397
347.167969	-48.448662
347.900391	-51.476021
348.632812	-49.903976
349.365234	-50.357639
350.097656	-50.753517
350.830078	-49.272339
351.562500	-51.215939
