Frequency (Hz)	Level (dB)
212.402344	-71.878754
213.134766	-71.448486
213.867188	-74.024712
214.599609	-73.287720
215.332031	-72.291763
216.064453	-70.725304
216.796875	-72.983879
217.529297	-71.656914
218.261719	-72.138519
218.994141	-72.211494
219.726562	-71.369911
220.458984	-71.921913
221.191406	-72.848938
221.923828	-69.205383
222.656250	-71.558800
223.388672	-68.901718
224.121094	-68.647675
224.853516	-69.075745
225.585938	-68.953682
226.318359	-69.341698
227.050781	-69.038757
227.783203	-67.692139
228.515625	-68.139717
229.248047	-67.968414
229.980469	-66.733421
230.712891	-68.297798
231.445312	-67.078148
232.177734	-68.086525
232.910156	-66.928436
233.642578	-68.356918
234.375000	-67.785202
235.107422	-67.769585
235.839844	-65.438881
236.572266	-64.782478
237.304688	-64.232803
238.037109	-67.148170
238.769531	-64.110153
239.501953	-64.508026
240.234375	-64.692963
240.966797	-65.059769
241.699219	-63.950428
242.431641	-63.146172
243.164062	-62.435612
243.896484	-62.857510
244.628906	-63.660488
245.361328	-65.029533
246.093750	-64.476669
246.826172	-62.373688
247.558594	-63.245499
248.291016	-62.563705
249.023438	-65.684555
249.755859	-63.028778
250.488281	-65.914886
251.220703	-64.289665
251.953125	-63.468681
252.685547	-63.666130
253.417969	-63.443081
254.150391	-65.905281
254.882812	-63.858749
255.615234	-65.063087
256.347656	-65.666473
257.080078	-64.374893
257.812500	-65.564293
258.544922	-66.088684
259.277344	-66.480865
260.009766	-65.330971
260.742188	-65.914810
261.474609	-66.644257
262.207031	-66.416367
262.939453	-65.496933
263.671875	-66.372383
264.404297	-66.459267
265.136719	-66.676193
265.869141	-67.228699
266.601562	-68.401634
267.333984	-67.338264
268.066406	-67.712898
268.798828	-69.127518
269.531250	-69.657059
270.263672	-68.391113
270.996094	-67.297173
271.728516	-68.951294
272.460938	-68.583015
273.193359	-69.274292
273.925781	-71.632309
274.658203	-69.157761
275.390625	-69.615356
276.123047	-70.601555
276.855469	-71.145660
277.587891	-69.769913
278.320312	-70.065094
279.052734	-70.025497
279.785156	-70.402206
280.517578	-69.952873
281.250000	-71.908234
281.982422	-71.434425
282.714844	-71.883003
283.447266	-70.349251
284.179688	-70.198364
284.912109	-71.188339
285.644531	-71.190842
286.376953	-73.392357
287.109375	-72.261757
287.841797	-73.041817
288.574219	-72.430855
289.306641	-72.991989
290.039062	-73.211876
290.771484	-73.311150
291.503906	-73.668167
292.236328	-72.560173
292.968750	-72.481606
293.701172	-73.611732
294.433594	-73.214180
295.166016	-73.575226
295.898438	-73.421066
296.630859	-75.560173
297.363281	-73.055664
298.095703	-72.690376
298.828125	-74.530991
299.560547	-75.116257
300.292969	-72.818634
301.025391	-74.328217
301.757812	-75.638344
302.490234	-75.153381
303.222656	-75.477074
303.955078	-74.983482
304.687500	-74.075813
305.419922	-73.871742
306.152344	-75.554169
306.884766	-75.517746
307.617188	-77.184578
308.349609	-74.713379
309.082031	-74.646347
309.814453	-76.447922
310.546875	-75.033073
311.279297	-74.970711
312.011719	-74.831886
312.744141	-75.346420
313.476562	-75.306061
314.208984	-74.568748
314.941406	-76.141830
315.673828	-76.115807
316.406250	-75.400658
317.138672	-77.079636
317.871094	-75.916832
318.603516	-76.211899
319.335938	-76.719093
320.068359	-75.716835
320.800781	-73.877747
321.533203	-75.375252
322.265625	-76.572876
322.998047	-76.594414
323.730469	-76.005081
324.462891	-75.681114
325.195312	-75.738541
325.927734	-76.062302
326.660156	-76.463707
327.392578	-77.342209
328.125000	-76.106346
328.857422	-77.577766
329.589844	-76.394096
330.322266	-78.087288
331.054688	-76.518982
331.787109	-76.848289
332.519531	-76.943970
333.251953	-76.593063
333.984375	-75.529396
334.716797	-76.379257
335.449219	-76.196228
336.181641	-76.672371
336.914062	-76.403000
337.646484	-75.582886
338.378906	-74.587265
339.111328	-76.043182
339.843750	-75.988144
340.576172	-77.619278
341.308594	-77.343033
342.041016	-76.599709
342.773438	-77.265244
343.505859	-77.504486
344.238281	-76.963799
344.970703	-77.632935
345.703125	-77.126869
346.435547	-77.673615
347.167969	-75.668564
347.900391	-78.115631
348.632812	-76.971016
349.365234	-78.236595
350.097656	-76.910866
350.830078	-76.221298
351.562500	-78.862381
352.294922	-78.270866
353.027344	-76.154922
353.759766	-78.310028
354.492188	-77.331131
355.224609	-77.229126
355.957031	-76.235565
356.689453	-77.682999
357.421875	-78.313622
358.154297	-78.185440
358.886719	-77.525642
359.619141	-76.794693
360.351562	-76.852402
361.083984	-77.650299
361.816406	-78.056213
362.548828	-79.866997
363.281250	-77.605568
364.013672	-77.808693
364.746094	-78.159470
365.478516	-76.564629
366.210938	-77.083542
366.943359	-77.267624
367.675781	-77.804970
368.408203	-76.864616
369.140625	-77.795288
369.873047	-76.690796
370.605469	-77.925690
371.337891	-76.699760
372.070312	-77.936134
372.802734	-76.292137
373.535156	-76.600685
374.267578	-77.092735
375.000000	-78.077347
375.732422	-75.912636
376.464844	-76.537010
377.197266	-76.585999
377.929688	-77.620140
378.662109	-79.579536
379.394531	-75.507591
380.126953	-77.152954
380.859375	-76.845009
381.591797	-78.387764
382.324219	-75.994606
383.056641	-78.234154
383.789062	-77.803642
384.521484	-77.328018
385.253906	-76.644958
385.986328	-78.739555
386.718750	-77.973427
387.451172	-76.983643
388.183594	-77.142189
388.916016	-76.619171
389.648438	-78.149063
390.380859	-77.930130
391.113281	-77.594994
391.845703	-78.504684
392.578125	-76.594963
393.310547	-77.498215
394.042969	-76.732178
394.775391	-77.091263
395.507812	-77.196930
396.240234	-75.993317
396.972656	-77.568375
397.705078	-77.432968
398.437500	-75.934822
399.169922	-77.708466
399.902344	-75.889183
400.634766	-75.715599
401.367188	-75.037270
402.099609	-77.065598
402.832031	-77.269341
403.564453	-78.022842
404.296875	-77.352142
405.029297	-76.432632
405.761719	-75.325691
406.494141	-77.722466
407.226562	-76.592247
407.958984	-76.824615
408.691406	-74.822769
409.423828	-77.069801
410.156250	-76.389145
410.888672	-75.579460
411.621094	-75.636147
412.353516	-75.781815
413.085938	-73.961830
413.818359	-74.767212
414.550781	-76.214134
415.283203	-75.662529
416.015625	-75.022552
416.748047	-75.253235
417.480469	-75.419266
418.212891	-74.689590
418.945312	-75.634163
419.677734	-75.186005
420.410156	-75.770592
421.142578	-76.395241
421.875000	-75.929550
422.607422	-75.623207
423.339844	-75.607574
424.072266	-75.287651
424.804688	-75.657478
425.537109	-77.631500
426.269531	-73.556473
427.001953	-75.655472
427.734375	-76.366966
428.466797	-75.063950
429.199219	-75.164505
429.931641	-75.401421
430.664062	-73.034790
431.396484	-73.997261
432.128906	-75.929367
432.861328	-75.167717
433.593750	-73.074120
434.326172	-74.464394
435.058594	-74.590172
435.791016	-74.447052
436.523438	-74.591286
437.255859	-74.326317
437.988281	-73.604836
438.720703	-74.648445
439.453125	-75.286507
440.185547	-74.297462
440.917969	-74.706818
441.650391	-73.701767
442.382812	-75.538658
443.115234	-73.167198
443.847656	-73.162971
444.580078	-74.579033
445.312500	-73.794495
446.044922	-73.319099
446.777344	-74.463470
447.509766	-73.861519
448.242188	-75.961449
448.974609	-72.675087
449.707031	-72.858917
450.439453	-74.348961
451.171875	-73.264633
451.904297	-72.781021
452.636719	-71.789177
453.369141	-72.823288
454.101562	-73.318756
454.833984	-74.303108
455.566406	-72.912720
456.298828	-73.987747
457.031250	-73.606537
457.763672	-72.752823
458.496094	-70.958542
459.228516	-71.386375
459.960938	-71.917213
460.693359	-73.269211
461.425781	-72.407455
462.158203	-72.565536
462.890625	-71.078110
463.623047	-71.444275
464.355469	-70.931625
465.087891	-70.773331
465.820312	-71.766235
466.552734	-70.843353
467.285156	-71.586678
468.017578	-70.423790
468.750000	-73.212227
469.482422	-71.538467
470.214844	-70.366592
470.947266	-70.519981
471.679688	-70.091270
472.412109	-71.853897
473.144531	-71.269196
473.876953	-69.869209
474.609375	-69.959297
475.341797	-71.310234
476.074219	-71.255051
476.806641	-69.640259
477.539062	-71.035576
478.271484	-72.224480
479.003906	-69.445877
479.736328	-68.081131
480.468750	-68.664742
481.201172	-69.822899
481.933594	-70.343491
482.666016	-69.424644
483.398438	-68.837936
484.130859	-68.085884
484.863281	-69.281929
485.595703	-68.967407
486.328125	-69.094292
487.060547	-68.157539
487.792969	-67.757225
488.525391	-67.416260
489.257812	-69.022591
489.990234	-69.154236
490.722656	-67.785881
491.455078	-67.682922
492.187500	-65.666542
492.919922	-67.992546
493.652344	-65.408356
494.384766	-66.654144
495.117188	-66.036934
495.849609	-67.631645
496.582031	-68.087135
497.314453	-67.809669
498.046875	-65.096176
498.779297	-65.958824
499.511719	-65.878685
500.244141	-64.891830
500.976562	-65.023079
501.708984	-64.075737
502.441406	-64.746735
