Frequency (Hz)	Level (dB)
212.402344	-68.575714
213.134766	-68.412430
213.867188	-71.640671
214.599609	-70.983109
215.332031	-70.693405
216.064453	-69.388290
216.796875	-72.868820
217.529297	-71.186119
218.261719	-72.409904
218.994141	-73.005127
219.726562	-72.432976
220.458984	-72.359901
221.191406	-72.962975
221.923828	-71.369759
222.656250	-73.348961
223.388672	-71.499672
224.121094	-72.203110
224.853516	-72.343414
225.585938	-71.508728
226.318359	-72.843826
227.050781	-73.305939
227.783203	-72.306595
228.515625	-73.044823
229.248047	-74.716324
229.980469	-72.809891
230.712891	-74.475044
231.445312	-73.056297
232.177734	-75.153122
232.910156	-74.370567
233.642578	-76.027519
234.375000	-74.888550
235.107422	-75.282700
235.839844	-74.606232
236.572266	-73.886871
237.304688	-73.679794
238.037109	-75.626343
238.769531	-74.520737
239.501953	-75.269470
240.234375	-75.444695
240.966797	-75.276802
241.699219	-75.215317
242.431641	-75.261963
243.164062	-74.777657
243.896484	-74.829552
244.628906	-75.445114
245.361328	-76.454277
246.093750	-76.160004
246.826172	-74.696251
247.558594	-76.597839
248.291016	-75.483253
249.023438	-77.661385
249.755859	-76.311165
250.488281	-77.898895
251.220703	-76.610176
251.953125	-76.889893
252.685547	-76.875755
253.417969	-77.470093
254.150391	-77.867317
254.882812	-75.851273
255.615234	-77.727539
256.347656	-77.589111
257.080078	-76.586746
257.812500	-78.603638
258.544922	-78.138077
259.277344	-79.230186
260.009766	-76.944679
260.742188	-77.055969
261.474609	-78.085564
262.207031	-77.158119
262.939453	-76.821960
263.671875	-76.573212
264.404297	-77.149834
265.136719	-77.497681
265.869141	-78.435333
266.601562	-78.634193
267.333984	-77.058357
268.066406	-77.328552
268.798828	-78.644035
269.531250	-78.055901
270.263672	-78.296951
270.996094	-76.491684
271.728516	-77.879753
272.460938	-77.764130
273.193359	-78.622490
273.925781	-79.577065
274.658203	-77.203239
275.390625	-78.129509
276.123047	-77.987450
276.855469	-78.490799
277.587891	-77.824051
278.320312	-77.731071
279.052734	-78.423515
279.785156	-78.445152
280.517578	-76.984947
281.250000	-79.222115
281.982422	-79.298958
282.714844	-78.029350
283.447266	-76.452812
284.179688	-77.046265
284.912109	-77.229858
285.644531	-77.178268
286.376953	-78.331413
287.109375	-77.002846
287.841797	-79.221954
288.574219	-78.853569
289.306641	-78.359039
290.039062	-79.080437
290.771484	-78.497604
291.503906	-79.073318
292.236328	-78.431580
292.968750	-77.512703
293.701172	-77.242508
294.433594	-77.637856
295.166016	-78.726021
295.898438	-78.011757
296.630859	-79.097031
297.363281	-77.382301
298.095703	-77.009979
298.828125	-79.151100
299.560547	-77.830467
300.292969	-77.459290
301.025391	-78.307121
301.757812	-78.312592
302.490234	-77.934395
303.222656	-78.191658
303.955078	-78.511856
304.687500	-77.416290
305.419922	-77.768585
306.152344	-77.846291
306.884766	-78.286911
307.617188	-79.885956
308.349609	-77.153694
309.082031	-77.210701
309.814453	-78.637535
310.546875	-78.341187
311.279297	-77.659782
312.011719	-77.082893
312.744141	-77.703377
313.476562	-77.871971
314.208984	-76.548851
314.941406	-77.672241
315.673828	-77.630241
316.406250	-78.006653
317.138672	-77.917770
317.871094	-77.110771
318.603516	-78.222893
319.335938	-77.484093
320.068359	-76.580162
320.800781	-75.108131
321.533203	-76.828407
322.265625	-76.924492
322.998047	-75.895325
323.730469	-77.070557
324.462891	-75.348404
325.195312	-76.473328
325.927734	-76.293755
326.660156	-76.266045
327.392578	-77.189018
328.125000	-75.065155
328.857422	-77.848244
329.589844	-76.072548
330.322266	-77.497475
331.054688	-75.224129
331.787109	-75.756882
332.519531	-76.162529
333.251953	-75.792747
333.984375	-74.915489
334.716797	-75.046257
335.449219	-73.845932
336.181641	-74.964996
336.914062	-74.462044
337.646484	-74.548767
338.378906	-72.767242
339.111328	-74.161575
339.843750	-73.775848
340.576172	-75.566132
341.308594	-74.670967
342.041016	-74.047714
342.773438	-74.385666
343.505859	-74.228790
344.238281	-73.205429
344.970703	-74.417686
345.703125	-74.030334
346.435547	-73.656967
347.167969	-71.878166
347.900391	-73.676750
348.632812	-73.348862
349.365234	-74.034828
350.097656	-73.156204
350.830078	-72.950790
351.562500	-75.023888
352.294922	-72.809204
353.027344	-71.146400
353.759766	-73.073776
354.492188	-71.253304
355.224609	-72.447990
355.957031	-70.934090
356.689453	-72.601471
357.421875	-72.403404
358.154297	-71.957039
358.886719	-71.174858
359.619141	-70.485672
360.351562	-71.163528
361.083984	-70.932297
361.816406	-70.250610
362.548828	-72.959396
363.281250	-70.594238
364.013672	-71.537086
364.746094	-70.503227
365.478516	-69.074249
366.210938	-69.588249
366.943359	-69.713478
367.675781	-69.773689
368.408203	-68.330528
369.140625	-70.275948
369.873047	-68.142097
370.605469	-69.098877
371.337891	-68.706192
372.070312	-69.319527
372.802734	-68.322845
373.535156	-67.624565
374.267578	-68.900246
375.000000	-69.225403
375.732422	-66.596985
376.464844	-67.201843
377.197266	-67.034248
377.929688	-67.724274
378.662109	-68.806465
379.394531	-66.256721
380.126953	-68.088570
380.859375	-66.813522
381.591797	-69.278709
382.324219	-65.992821
383.056641	-67.657425
383.789062	-68.545166
384.521484	-67.768463
385.253906	-67.458725
385.986328	-68.232269
386.718750	-68.350807
387.451172	-68.476822
388.183594	-68.490677
388.916016	-67.762405
389.648438	-69.026230
390.380859	-68.880112
391.113281	-68.902145
391.845703	-69.472572
392.578125	-68.004341
393.310547	-69.327606
394.042969	-68.043526
394.775391	-69.446838
395.507812	-68.925011
396.240234	-67.755936
396.972656	-69.475792
397.705078	-69.507736
398.437500	-68.271645
399.169922	-70.606941
399.902344	-68.825577
400.634766	-68.608818
401.367188	-67.910194
402.099609	-70.576118
402.832031	-70.331367
403.564453	-71.018936
404.296875	-70.507362
405.029297	-70.082802
405.761719	-69.466057
406.494141	-71.892067
407.226562	-70.714211
407.958984	-70.747063
408.691406	-69.563011
409.423828	-71.337952
410.156250	-70.481003
410.888672	-70.234467
411.621094	-70.560585
412.353516	-70.421875
413.085938	-69.152542
413.818359	-69.628487
414.550781	-71.225555
415.283203	-71.620155
416.015625	-70.380676
416.748047	-70.667511
417.480469	-71.044205
418.212891	-70.315125
418.945312	-71.072021
419.677734	-70.917824
420.410156	-71.445961
421.142578	-71.834023
421.875000	-71.658073
422.607422	-72.065712
423.339844	-71.116020
424.072266	-71.605400
424.804688	-72.596748
425.537109	-73.367188
426.269531	-70.077126
427.001953	-72.537758
427.734375	-72.653404
428.466797	-71.513031
429.199219	-72.528656
429.931641	-72.319687
430.664062	-70.658134
431.396484	-70.823578
432.128906	-72.418755
432.861328	-71.284828
433.593750	-70.745621
434.326172	-71.863083
435.058594	-71.472664
435.791016	-73.041161
436.523438	-72.400703
437.255859	-72.961494
437.988281	-71.567459
438.720703	-71.922920
439.453125	-73.573280
440.185547	-73.102112
440.917969	-72.549683
441.650391	-72.568001
442.382812	-74.615211
443.115234	-72.093033
443.847656	-71.653450
444.580078	-73.736000
445.312500	-73.231514
446.044922	-71.627937
446.777344	-73.105782
447.509766	-73.588760
448.242188	-74.917786
448.974609	-72.534767
449.707031	-73.919479
450.439453	-73.907738
451.171875	-73.359291
451.904297	-73.690117
452.636719	-72.250877
453.369141	-73.821472
454.101562	-73.812195
454.833984	-73.986877
455.566406	-73.276321
456.298828	-75.171829
457.031250	-74.500381
457.763672	-74.284523
458.496094	-73.216049
459.228516	-74.027306
459.960938	-74.462730
460.693359	-74.583801
461.425781	-74.235306
462.158203	-74.634796
462.890625	-72.997208
463.623047	-74.191856
464.355469	-74.304703
465.087891	-73.506294
465.820312	-75.239822
466.552734	-74.524315
467.285156	-75.265411
468.017578	-74.174522
468.750000	-76.322861
469.482422	-75.341278
470.214844	-74.126869
470.947266	-75.068947
471.679688	-74.344353
472.412109	-75.634811
473.144531	-76.020744
473.876953	-74.463470
474.609375	-75.140060
475.341797	-77.090225
476.074219	-75.695808
476.806641	-74.982712
477.539062	-76.790108
478.271484	-76.522583
479.003906	-75.526428
479.736328	-74.487053
480.468750	-74.145027
481.201172	-75.983421
481.933594	-77.013855
482.666016	-76.116592
483.398438	-76.273605
484.130859	-74.898064
484.863281	-76.342987
485.595703	-75.704765
486.328125	-75.495155
487.060547	-75.640808
487.792969	-75.649101
488.525391	-75.093735
489.257812	-76.200623
489.990234	-76.700478
490.722656	-75.273140
491.455078	-76.619965
492.187500	-74.848396
492.919922	-76.432945
493.652344	-74.104462
494.384766	-75.676834
495.117188	-75.541412
495.849609	-76.589058
496.582031	-78.202438
497.314453	-77.086319
498.046875	-74.922386
498.779297	-76.262756
499.511719	-75.034035
500.244141	-74.354553
500.976562	-75.349426
501.708984	-74.724770
502.441406	-75.795807
503.173828	-76.340851
503.906250	-75.187775
504.638672	-75.091881
505.371094	-74.914619
506.103516	-75.278206
506.835938	-77.494278
507.568359	-75.731216
508.300781	-75.434608
509.033203	-76.053246
509.765625	-76.758041
510.498047	-75.985558
511.230469	-75.467201
511.962891	-76.557610
512.695312	-75.218590
513.427734	-75.351074
514.160156	-74.928520
514.892578	-75.712479
515.625000	-76.631554
516.357422	-73.958618
517.089844	-76.655464
517.822266	-75.331482
518.554688	-74.553978
519.287109	-73.526772
520.019531	-73.573807
520.751953	-75.396614
521.484375	-75.230598
522.216797	-75.727425
522.949219	-75.093094
523.681641	-74.597969
524.414062	-73.039391
525.146484	-75.434341
525.878906	-75.089035
526.611328	-75.125313
527.343750	-75.361511
528.076172	-75.082230
528.808594	-74.462784
529.541016	-75.013786
530.273438	-74.985420
531.005859	-74.613342
531.738281	-74.463745
532.470703	-75.900208
533.203125	-73.964172
533.935547	-73.699142
534.667969	-76.791901
535.400391	-74.192413
536.132812	-74.733963
536.865234	-74.629318
537.597656	-74.133987
538.330078	-72.863556
539.062500	-73.640388
539.794922	-74.882530
540.527344	-74.152893
541.259766	-71.415932
541.992188	-72.370613
542.724609	-73.728600
543.457031	-72.133224
544.189453	-75.809731
544.921875	-73.758759
545.654297	-73.229538
546.386719	-74.909492
547.119141	-71.479263
547.851562	-73.039627
548.583984	-72.498299
549.316406	-72.241135
550.048828	-72.290123
550.781250	-71.004517
551.513672	-71.933754
552.246094	-71.609825
552.978516	-70.753662
553.710938	-71.875534
554.443359	-70.339317
555.175781	-70.766174
555.908203	-73.030907
556.640625	-72.795967
557.373047	-70.745804
558.105469	-71.395081
558.837891	-70.386307
559.570312	-69.009422
560.302734	-71.162567
561.035156	-72.003838
561.767578	-70.001137
562.500000	-69.895889
563.232422	-68.694336
563.964844	-69.533890
564.697266	-68.577286
565.429688	-69.896912
566.162109	-68.564278
566.894531	-68.988953
567.626953	-68.198135
568.359375	-68.196899
569.091797	-68.051231
569.824219	-67.770927
570.556641	-67.784325
571.289062	-66.775398
572.021484	-68.712097
572.753906	-67.615791
573.486328	-66.722687
574.218750	-66.809303
574.951172	-66.143349
575.683594	-66.643280
576.416016	-65.324280
577.148438	-64.916374
577.880859	-65.044388
578.613281	-65.187103
579.345703	-65.907234
580.078125	-66.463066
580.810547	-64.778366
581.542969	-63.655380
582.275391	-64.541611
583.007812	-63.866734
583.740234	-64.760597
584.472656	-63.972752
585.205078	-63.155712
585.937500	-62.560268
586.669922	-63.538628
587.402344	-62.936104
588.134766	-63.117950
588.867188	-63.370708
589.599609	-62.874081
590.332031	-62.701878
591.064453	-61.449024
591.796875	-61.887444
592.529297	-61.467785
593.261719	-61.761280
593.994141	-63.051838
594.726562	-61.768982
595.458984	-60.985043
596.191406	-60.017387
596.923828	-59.510006
597.656250	-61.595497
598.388672	-61.410091
599.121094	-60.820107
599.853516	-61.931553
600.585938	-60.904621
601.318359	-60.667568
602.050781	-61.537983
602.783203	-62.852276
603.515625	-64.593788
604.248047	-63.530102
604.980469	-62.526810
605.712891	-64.206894
606.445312	-65.000954
607.177734	-64.015724
607.910156	-64.720955
608.642578	-64.337357
609.375000	-65.032593
610.107422	-64.084259
610.839844	-63.532776
611.572266	-63.348362
612.304688	-64.091324
613.037109	-66.450066
613.769531	-65.366241
614.501953	-66.409660
615.234375	-66.846779
615.966797	-66.713142
616.699219	-66.324432
617.431641	-67.274117
618.164062	-66.611084
618.896484	-67.144890
619.628906	-67.960327
620.361328	-67.346809
621.093750	-67.392746
621.826172	-67.988106
622.558594	-69.271095
623.291016	-68.914764
624.023438	-68.773483
624.755859	-68.588829
625.488281	-70.394165
626.220703	-70.141319
626.953125	-69.002853
627.685547	-69.884705
628.417969	-69.878448
629.150391	-70.652901
629.882812	-70.160820
630.615234	-70.505356
631.347656	-70.481224
632.080078	-70.127647
632.812500	-70.653404
633.544922	-71.758194
634.277344	-72.165245
635.009766	-71.487633
635.742188	-71.522408
636.474609	-70.497322
637.207031	-73.257027
637.939453	-73.495735
638.671875	-72.850868
639.404297	-72.162361
640.136719	-74.104683
640.869141	-74.210854
641.601562	-72.941727
642.333984	-71.379669
643.066406	-72.777359
643.798828	-74.926376
644.531250	-72.048058
645.263672	-75.074371
645.996094	-72.455093
646.728516	-73.202301
647.460938	-73.239021
648.193359	-74.021278
648.925781	-74.668320
649.658203	-73.353683
650.390625	-73.617310
651.123047	-75.633080
651.855469	-73.173210
652.587891	-74.033157
653.320312	-73.773911
654.052734	-73.280083
654.785156	-74.537910
655.517578	-73.720123
656.250000	-73.520660
656.982422	-74.847336
657.714844	-73.862228
658.447266	-74.538948
659.179688	-76.090324
659.912109	-73.811310
660.644531	-74.582870
661.376953	-72.975151
662.109375	-73.968605
662.841797	-75.235939
663.574219	-75.857574
664.306641	-74.903000
665.039062	-74.235779
665.771484	-75.157486
666.503906	-74.380356
667.236328	-75.100510
667.968750	-72.853989
668.701172	-75.952095
669.433594	-74.994759
670.166016	-74.389984
670.898438	-75.442070
671.630859	-74.474167
672.363281	-75.207893
673.095703	-74.611023
673.828125	-73.350403
674.560547	-73.429276
675.292969	-72.703987
676.025391	-74.835480
676.757812	-73.143135
677.490234	-74.065247
678.222656	-74.836006
678.955078	-74.206207
679.687500	-75.655289
680.419922	-74.645164
681.152344	-72.871254
681.884766	-72.458206
